고객사ID,가입일,산업군,요금제,좌석수,월구독료,이탈여부
C00048,2023-03-07,금융,Basic,1,29000,0
C00049,2024-03-10,금융,Basic,2,58000,0
C00050,2024-02-21,금융,Pro,6,594000,1
C00051,2022-06-08,의료,Pro,6,594000,0
C00052,2022-03-07,유통/이커머스,Pro,8,792000,0
C00053,2022-03-22,스타트업,Pro,6,594000,1
C00054,2023-09-04,교육,Basic,1,29000,0
C00055,2022-07-25,금융,Basic,1,29000,0
C00056,2023-03-04,제조,Basic,2,58000,0
C00057,2022-01-12,공공,Pro,5,495000,0
C00058,2024-04-10,IT/SW,Pro,2,198000,1
C00059,2022-01-19,IT/SW,Basic,2,58000,0
C00060,2023-12-10,금융,Basic,3,87000,0
C00061,2024-01-25,유통/이커머스,Pro,6,594000,0
C00062,2024-06-08,유통/이커머스,Basic,2,58000,0
C00063,2022-05-20,스타트업,Pro,7,693000,0
C00064,2024-05-15,IT/SW,Pro,4,396000,0
C00065,2023-08-17,공공,Enterprise,35,13650000,0
C00066,2022-10-05,스타트업,Basic,4,116000,1
C00067,2024-05-16,스타트업,Basic,1,29000,0
C00068,2023-10-03,IT/SW,Basic,1,29000,0
C00069,2022-03-31,의료,Enterprise,28,10920000,0
C00070,2022-02-22,공공,Basic,1,29000,0
C00071,2023-05-04,스타트업,Enterprise,27,10530000,0
C00072,2022-07-16,스타트업,Pro,7,693000,0
C00073,2023-06-23,공공,Basic,1,29000,0
C00074,2022-10-26,IT/SW,Enterprise,46,17940000,0
C00075,2024-03-23,유통/이커머스,Pro,4,396000,1
C00076,2023-07-15,제조,Basic,1,29000,0
C00077,2023-04-30,유통/이커머스,Basic,1,29000,0
C00078,2022-02-26,유통/이커머스,Basic,3,87000,1
C00079,2022-05-20,금융,Pro,7,693000,0
C00080,2022-02-17,교육,Pro,5,495000,0
C00081,2022-09-13,IT/SW,Basic,1,29000,0
C00082,2022-05-28,공공,Pro,5,495000,0
C00083,2023-09-13,교육,Pro,4,396000,0
C00084,2023-03-03,IT/SW,Enterprise,32,12480000,0
C00085,2022-12-09,제조,Enterprise,31,12090000,0
C00086,2023-12-04,IT/SW,Basic,1,29000,0
C00087,2022-07-14,유통/이커머스,Pro,4,396000,0
C00088,2022-06-10,공공,Pro,4,396000,0
C00089,2023-05-18,금융,Basic,1,29000,1
C00090,2022-07-27,유통/이커머스,Basic,1,29000,1
C00091,2023-07-24,유통/이커머스,Basic,2,58000,0
C00092,2022-07-05,IT/SW,Pro,4,396000,0
C00093,2022-05-30,스타트업,Basic,1,29000,1
C00094,2022-03-28,제조,Basic,1,29000,0
C00095,2024-06-06,IT/SW,Basic,1,29000,0
C00096,2023-12-18,IT/SW,Basic,1,29000,0
C00097,2022-01-16,스타트업,Pro,5,495000,1
C00098,2024-01-17,유통/이커머스,Enterprise,38,14820000,0
C00099,2023-11-01,스타트업,Enterprise,33,12870000,0
C00100,2023-01-02,금융,Pro,8,792000,0
C00101,2022-10-21,유통/이커머스,Pro,4,396000,0
C00102,2023-09-22,교육,Enterprise,32,12480000,1
C00103,2023-03-23,금융,Pro,4,396000,0
C00104,2022-10-20,교육,Basic,1,29000,1
C00105,2022-01-23,교육,Pro,4,396000,0
C00106,2022-03-07,공공,Pro,8,792000,0
C00107,2022-11-02,금융,Basic,1,29000,0
C00108,2023-02-27,유통/이커머스,Basic,1,29000,0
C00109,2022-01-08,공공,Basic,2,58000,1
C00110,2023-11-14,제조,Basic,1,29000,0
C00111,2023-08-02,공공,Basic,1,29000,0
C00112,2024-03-05,스타트업,Pro,5,495000,0
C00113,2023-10-03,유통/이커머스,Basic,1,29000,1
C00114,2023-05-12,금융,Pro,5,495000,1
C00115,2024-01-15,제조,Basic,1,29000,0
C00116,2022-06-01,IT/SW,Pro,8,792000,0
C00117,2024-02-21,공공,Basic,4,116000,0
C00118,2023-09-08,공공,Basic,1,29000,0
C00119,2023-04-08,의료,Basic,2,58000,0
C00120,2023-12-18,금융,Basic,1,29000,0
C00121,2022-05-06,교육,Pro,4,396000,0
C00122,2023-10-29,교육,Enterprise,30,11700000,0
C00123,2022-10-25,제조,Enterprise,33,12870000,1
C00124,2022-02-19,의료,Pro,1,99000,1
C00125,2022-06-24,IT/SW,Basic,1,29000,0
C00126,2022-02-12,유통/이커머스,Basic,1,29000,1
C00127,2022-05-21,교육,Enterprise,37,14430000,1
C00128,2022-12-04,금융,Basic,1,29000,0
C00129,2023-06-06,제조,Enterprise,28,10920000,1
C00130,2022-11-28,제조,Pro,6,594000,1
C00131,2023-11-21,공공,Basic,1,29000,0
C00132,2023-10-11,금융,Pro,9,891000,0
C00133,2022-04-18,교육,Basic,1,29000,0
C00134,2023-05-24,유통/이커머스,Enterprise,22,8580000,0
C00135,2024-06-04,제조,Enterprise,42,16380000,0
C00136,2023-12-30,공공,Basic,1,29000,0
C00137,2023-06-21,유통/이커머스,Pro,3,297000,0
C00138,2023-03-27,교육,Basic,1,29000,0
C00139,2022-08-16,유통/이커머스,Enterprise,24,9360000,0
C00140,2023-01-10,제조,Basic,1,29000,0
C00141,2023-03-15,유통/이커머스,Pro,8,792000,0
C00142,2023-07-22,유통/이커머스,Basic,1,29000,0
C00143,2023-10-19,의료,Basic,1,29000,0
C00144,2022-09-18,유통/이커머스,Basic,1,29000,1
C00145,2022-03-18,의료,Enterprise,28,10920000,0
C00146,2023-06-20,제조,Basic,2,58000,0
C00147,2024-01-28,IT/SW,Basic,1,29000,0
C00148,2022-09-28,IT/SW,Basic,2,58000,0
C00149,2023-07-28,제조,Basic,1,29000,0
C00150,2022-07-14,교육,Basic,2,58000,1
C00151,2022-02-11,금융,Pro,9,891000,0
C00152,2023-01-15,유통/이커머스,Basic,1,29000,0
C00153,2024-06-16,의료,Basic,1,29000,1
C00154,2022-03-07,교육,Basic,1,29000,0
C00155,2024-06-04,유통/이커머스,Basic,1,29000,0
C00156,2022-06-23,금융,Pro,5,495000,0
C00157,2023-04-07,교육,Pro,7,693000,1
C00158,2024-04-27,IT/SW,Pro,5,495000,0
C00159,2023-07-14,공공,Enterprise,28,10920000,0
C00160,2022-04-21,스타트업,Pro,5,495000,0
C00161,2024-01-16,유통/이커머스,Pro,4,396000,0
C00162,2023-07-11,스타트업,Pro,7,693000,0
C00163,2023-01-10,공공,Basic,1,29000,0
C00164,2022-02-05,제조,Basic,1,29000,0
C00165,2023-05-28,교육,Pro,5,495000,0
C00166,2024-02-25,유통/이커머스,Basic,1,29000,0
C00167,2023-04-04,IT/SW,Basic,1,29000,0
C00168,2022-06-21,공공,Basic,1,29000,0
C00169,2023-09-23,유통/이커머스,Pro,5,495000,1
C00170,2023-11-07,제조,Basic,1,29000,0
C00171,2022-03-19,교육,Basic,1,29000,0
C00172,2023-10-16,의료,Basic,1,29000,0
C00173,2022-08-30,유통/이커머스,Basic,1,29000,0
C00174,2022-09-21,유통/이커머스,Pro,4,396000,0
C00175,2023-07-05,공공,Basic,2,58000,0
C00176,2022-05-11,스타트업,Basic,1,29000,0
C00177,2023-05-19,공공,Basic,3,87000,0
C00178,2022-02-17,제조,Basic,1,29000,0
C00179,2023-04-02,유통/이커머스,Pro,3,297000,0
C00180,2022-01-22,제조,Basic,1,29000,1
C00181,2024-02-18,제조,Pro,8,792000,1
C00182,2024-05-21,유통/이커머스,Basic,1,29000,0
C00183,2022-11-16,IT/SW,Enterprise,39,15210000,1
C00184,2022-11-21,유통/이커머스,Pro,6,594000,1
C00185,2022-08-25,유통/이커머스,Enterprise,33,12870000,1
C00186,2024-03-04,유통/이커머스,Pro,8,792000,1
C00187,2023-08-01,의료,Basic,2,58000,0
C00188,2022-07-28,IT/SW,Basic,2,58000,0
C00189,2022-09-28,공공,Pro,7,693000,0
C00190,2022-08-13,제조,Basic,1,29000,0
C00191,2022-05-01,금융,Basic,4,116000,0
C00192,2024-03-17,IT/SW,Basic,1,29000,1
C00193,2023-05-12,유통/이커머스,Pro,3,297000,0
C00194,2022-12-16,의료,Basic,1,29000,1
C00195,2022-06-30,금융,Basic,1,29000,1
C00196,2022-09-10,금융,Basic,1,29000,1
C00197,2024-05-02,제조,Basic,1,29000,0
C00198,2023-07-26,제조,Pro,7,693000,0
C00199,2022-01-11,IT/SW,Enterprise,26,10140000,0
C00200,2022-11-26,교육,Basic,1,29000,0
C00201,2024-04-27,제조,Basic,1,29000,0
C00202,2024-06-15,스타트업,Basic,1,29000,0
C00203,2024-01-16,금융,Basic,2,58000,0
C00204,2022-06-21,교육,Basic,1,29000,0
C00205,2022-04-10,유통/이커머스,Basic,1,29000,0
C00206,2023-01-24,유통/이커머스,Enterprise,31,12090000,0
C00207,2024-01-26,교육,Basic,3,87000,1
C00208,2022-05-17,금융,Basic,1,29000,0
C00209,2023-06-07,공공,Basic,2,58000,0
C00210,2022-05-25,공공,Pro,3,297000,0
C00211,2023-06-04,IT/SW,Enterprise,27,10530000,0
C00212,2022-08-13,유통/이커머스,Enterprise,30,11700000,0
C00213,2024-03-21,IT/SW,Pro,3,297000,1
C00214,2022-06-10,유통/이커머스,Pro,10,990000,0
C00215,2022-09-19,공공,Basic,1,29000,0
C00216,2023-06-01,유통/이커머스,Pro,3,297000,0
C00217,2022-06-18,교육,Basic,1,29000,0
C00218,2022-01-19,IT/SW,Pro,8,792000,1
C00219,2023-07-12,공공,Basic,4,116000,0
C00220,2023-01-15,IT/SW,Pro,3,297000,1
C00221,2023-01-21,제조,Pro,6,594000,0
C00222,2024-04-10,IT/SW,Enterprise,35,13650000,0
C00223,2023-12-12,IT/SW,Basic,1,29000,0
C00224,2022-03-18,스타트업,Basic,1,29000,0
C00225,2022-06-12,공공,Basic,3,87000,0
C00226,2022-04-30,IT/SW,Pro,2,198000,1
C00227,2023-04-11,IT/SW,Basic,1,29000,0
C00228,2023-03-07,제조,Basic,1,29000,0
C00229,2022-11-03,교육,Pro,5,495000,0
C00230,2022-04-09,금융,Pro,3,297000,0
C00231,2023-03-02,유통/이커머스,Basic,2,58000,0
C00232,2024-01-30,금융,Basic,1,29000,0
C00233,2023-08-15,공공,Enterprise,25,9750000,1
C00234,2022-07-31,의료,Pro,2,198000,1
C00235,2023-01-03,IT/SW,Basic,1,29000,0
C00236,2023-02-20,공공,Basic,1,29000,0
C00237,2024-01-12,IT/SW,Pro,3,297000,0
C00238,2023-07-27,금융,Enterprise,31,12090000,1
C00239,2024-01-06,IT/SW,Pro,7,693000,1
C00240,2022-01-04,IT/SW,Enterprise,29,11310000,0
C00241,2022-11-08,유통/이커머스,Basic,2,58000,0
C00242,2023-11-26,유통/이커머스,Enterprise,22,8580000,0
C00243,2022-02-28,제조,Enterprise,27,10530000,0
C00244,2022-04-13,제조,Pro,3,297000,0
C00245,2023-07-25,유통/이커머스,Enterprise,27,10530000,0
C00246,2024-05-29,IT/SW,Basic,3,87000,0
C00247,2022-02-28,교육,Pro,4,396000,0
C00248,2022-03-10,스타트업,Pro,4,396000,0
C00249,2023-05-01,IT/SW,Basic,1,29000,1
C00250,2023-06-15,IT/SW,Basic,1,29000,1
C00251,2024-03-26,교육,Basic,1,29000,0
C00252,2023-03-06,유통/이커머스,Basic,2,58000,0
C00253,2022-07-27,스타트업,Enterprise,33,12870000,0
C00254,2022-03-12,교육,Pro,4,396000,0
C00255,2024-04-30,의료,Enterprise,36,14040000,0
C00256,2024-03-08,공공,Enterprise,32,12480000,0
C00257,2024-06-12,공공,Basic,1,29000,0
C00258,2023-09-27,의료,Basic,1,29000,0
C00259,2023-05-31,유통/이커머스,Enterprise,22,8580000,0
C00260,2024-01-17,교육,Pro,6,594000,0
C00261,2023-10-07,유통/이커머스,Basic,1,29000,0
C00262,2024-02-17,유통/이커머스,Enterprise,33,12870000,0
C00263,2022-08-24,IT/SW,Basic,1,29000,0
C00264,2023-05-05,IT/SW,Pro,5,495000,0
C00265,2024-05-12,IT/SW,Enterprise,25,9750000,0
C00266,2023-01-21,스타트업,Basic,1,29000,0
C00267,2023-01-07,제조,Basic,3,87000,0
C00268,2022-11-22,금융,Basic,3,87000,1
C00269,2022-03-10,제조,Pro,5,495000,0
C00270,2023-10-26,유통/이커머스,Enterprise,19,7410000,0
C00271,2023-05-29,교육,Pro,6,594000,0
C00272,2022-10-20,제조,Pro,7,693000,0
C00273,2022-03-08,IT/SW,Basic,1,29000,0
C00274,2023-08-18,제조,Enterprise,27,10530000,0
C00275,2023-10-05,IT/SW,Basic,1,29000,0
C00276,2023-07-12,IT/SW,Basic,1,29000,1
C00277,2022-02-14,제조,Pro,4,396000,0
C00278,2022-04-10,제조,Basic,1,29000,0
C00279,2024-05-23,교육,Basic,1,29000,0
C00280,2023-06-01,제조,Enterprise,33,12870000,0
C00281,2023-03-14,교육,Basic,2,58000,0
C00282,2024-06-11,스타트업,Basic,1,29000,0
C00283,2024-01-27,IT/SW,Enterprise,31,12090000,0
C00284,2024-02-08,IT/SW,Basic,1,29000,0
C00285,2023-09-15,의료,Basic,1,29000,0
C00286,2022-04-28,공공,Pro,2,198000,1
C00287,2024-03-15,IT/SW,Basic,1,29000,1
C00288,2022-10-07,제조,Basic,3,87000,0
C00289,2023-02-03,IT/SW,Enterprise,33,12870000,0
C00290,2022-10-19,교육,Enterprise,16,6240000,0
C00291,2023-02-04,유통/이커머스,Basic,1,29000,0
C00292,2023-05-21,IT/SW,Enterprise,31,12090000,0
C00293,2023-06-19,교육,Enterprise,20,7800000,0
C00294,2022-11-21,IT/SW,Enterprise,22,8580000,0
C00295,2023-11-21,유통/이커머스,Enterprise,27,10530000,1
C00296,2023-07-11,제조,Pro,9,891000,0
C00297,2023-09-08,의료,Pro,4,396000,0
C00298,2022-11-25,금융,Enterprise,31,12090000,0
C00299,2022-10-26,스타트업,Pro,5,495000,0
C00300,2024-04-23,금융,Enterprise,40,15600000,0
C00301,2022-10-16,스타트업,Pro,6,594000,0
C00302,2023-06-01,제조,Enterprise,32,12480000,0
C00303,2024-01-12,유통/이커머스,Enterprise,27,10530000,0
C00304,2023-02-21,교육,Enterprise,23,8970000,1
C00305,2022-11-22,스타트업,Pro,2,198000,0
C00306,2022-02-16,제조,Basic,1,29000,0
C00307,2022-07-20,스타트업,Pro,3,297000,0
C00308,2022-06-03,금융,Basic,1,29000,0
C00309,2023-03-12,IT/SW,Enterprise,27,10530000,0
C00310,2022-01-13,의료,Basic,1,29000,0
C00311,2022-07-22,제조,Pro,4,396000,0
C00312,2022-08-26,유통/이커머스,Pro,7,693000,0
C00313,2024-03-22,의료,Basic,3,87000,0
C00314,2022-06-07,유통/이커머스,Basic,1,29000,0
C00315,2022-09-01,제조,Basic,1,29000,1
C00316,2023-08-07,제조,Basic,1,29000,1
C00317,2023-07-23,스타트업,Enterprise,24,9360000,1
C00318,2023-05-01,교육,Basic,1,29000,0
C00319,2023-06-10,IT/SW,Pro,5,495000,1
C00320,2022-02-13,제조,Basic,1,29000,0
C00321,2024-03-03,유통/이커머스,Pro,5,495000,0
C00322,2023-12-20,IT/SW,Basic,1,29000,0
C00323,2022-12-13,유통/이커머스,Enterprise,26,10140000,0
C00324,2024-03-11,금융,Basic,1,29000,0
C00325,2023-11-14,유통/이커머스,Basic,1,29000,0
C00326,2022-02-14,IT/SW,Basic,1,29000,0
C00327,2022-10-20,유통/이커머스,Basic,1,29000,0
C00328,2023-07-26,제조,Pro,3,297000,0
C00329,2023-12-28,의료,Pro,9,891000,0
C00330,2022-10-20,교육,Pro,7,693000,0
C00331,2023-04-22,공공,Enterprise,29,11310000,0
C00332,2023-04-28,금융,Pro,6,594000,1
C00333,2023-08-29,IT/SW,Enterprise,20,7800000,0
C00334,2024-01-20,유통/이커머스,Basic,1,29000,0
C00335,2022-08-10,제조,Pro,6,594000,0
C00336,2023-01-18,IT/SW,Pro,6,594000,1
C00337,2022-11-23,유통/이커머스,Basic,1,29000,0
C00338,2023-12-27,금융,Enterprise,27,10530000,0
C00339,2023-06-09,IT/SW,Basic,1,29000,0
C00340,2023-09-20,금융,Basic,3,87000,0
C00341,2023-05-24,스타트업,Basic,1,29000,0
C00342,2022-03-31,IT/SW,Basic,2,58000,0
C00343,2023-08-09,IT/SW,Basic,1,29000,0
C00344,2022-09-12,IT/SW,Basic,1,29000,0
C00345,2024-01-09,제조,Basic,1,29000,0
C00346,2023-01-05,제조,Basic,2,58000,0
C00347,2023-02-22,의료,Basic,3,87000,0
C00348,2023-06-05,유통/이커머스,Pro,8,792000,0
C00349,2024-05-06,금융,Basic,1,29000,0
C00350,2022-02-05,교육,Basic,1,29000,0
C00351,2023-01-03,공공,Basic,4,116000,0
C00352,2023-10-02,교육,Basic,2,58000,1
C00353,2024-03-14,교육,Pro,6,594000,0
C00354,2023-03-05,금융,Basic,1,29000,0
C00355,2022-04-20,금융,Enterprise,29,11310000,0
C00356,2023-12-24,금융,Enterprise,41,15990000,0
C00357,2022-11-01,의료,Pro,4,396000,0
C00358,2022-01-14,의료,Pro,8,792000,0
C00359,2022-12-12,교육,Pro,4,396000,0
C00360,2023-11-20,금융,Enterprise,30,11700000,1
C00361,2023-07-23,의료,Basic,1,29000,0
C00362,2022-12-27,공공,Basic,3,87000,0
C00363,2024-03-27,IT/SW,Pro,2,198000,0
C00364,2022-06-05,IT/SW,Enterprise,32,12480000,0
C00365,2023-12-01,금융,Basic,1,29000,1
C00366,2023-02-16,제조,Pro,3,297000,1
C00367,2024-04-10,교육,Basic,1,29000,1
C00368,2022-11-23,금융,Pro,2,198000,0
C00369,2024-05-13,IT/SW,Basic,1,29000,0
C00370,2022-05-28,의료,Enterprise,32,12480000,0
C00371,2023-03-17,유통/이커머스,Pro,6,594000,0
C00372,2023-12-16,금융,Basic,1,29000,0
C00373,2024-02-19,유통/이커머스,Enterprise,30,11700000,0
C00374,2023-08-16,IT/SW,Pro,3,297000,0
C00375,2023-05-30,IT/SW,Enterprise,29,11310000,0
C00376,2022-12-30,교육,Basic,3,87000,1
C00377,2022-12-29,제조,Basic,1,29000,0
C00378,2023-08-10,교육,Enterprise,26,10140000,0
C00379,2023-11-26,유통/이커머스,Basic,1,29000,0
C00380,2022-07-13,스타트업,Pro,7,693000,0
C00381,2023-10-02,금융,Pro,5,495000,0
C00382,2023-12-16,공공,Basic,1,29000,0
C00383,2024-03-23,제조,Enterprise,21,8190000,0
C00384,2023-09-01,IT/SW,Enterprise,25,9750000,1
C00385,2022-07-11,IT/SW,Pro,1,99000,0
C00386,2022-03-15,IT/SW,Basic,1,29000,0
C00387,2022-11-21,제조,Basic,1,29000,0
C00388,2023-05-02,유통/이커머스,Enterprise,33,12870000,0
C00389,2022-06-08,스타트업,Enterprise,28,10920000,0
C00390,2022-04-15,스타트업,Pro,7,693000,0
C00391,2022-01-13,제조,Basic,1,29000,0
C00392,2023-06-02,금융,Pro,5,495000,0
C00393,2023-06-11,공공,Pro,7,693000,0
C00394,2023-05-17,유통/이커머스,Basic,1,29000,0
C00395,2022-12-04,공공,Basic,3,87000,0
C00396,2022-06-06,의료,Basic,2,58000,1
C00397,2023-05-26,공공,Basic,1,29000,0
C00398,2022-05-30,스타트업,Basic,1,29000,1
C00399,2022-05-01,금융,Basic,2,58000,0
C00400,2023-04-07,공공,Pro,3,297000,0
C00401,2023-06-17,공공,Pro,4,396000,0
C00402,2022-07-17,금융,Basic,3,87000,0
C00403,2023-09-27,스타트업,Pro,7,693000,1
C00404,2022-06-19,의료,Pro,2,198000,0
C00405,2023-04-15,제조,Enterprise,33,12870000,0
C00406,2023-11-19,의료,Basic,1,29000,0
C00407,2023-12-01,공공,Basic,1,29000,1
C00408,2023-09-25,스타트업,Pro,2,198000,1
C00409,2022-02-26,공공,Basic,1,29000,0
C00410,2022-10-10,금융,Pro,5,495000,0
C00411,2022-02-25,금융,Basic,1,29000,0
C00412,2023-10-31,IT/SW,Basic,1,29000,0
C00413,2022-06-14,IT/SW,Pro,3,297000,0
C00414,2024-02-21,제조,Pro,2,198000,0
C00415,2023-08-20,교육,Pro,4,396000,0
C00416,2023-07-28,교육,Pro,4,396000,0
C00417,2024-04-16,유통/이커머스,Basic,1,29000,0
C00418,2024-04-29,제조,Pro,4,396000,1
C00419,2024-02-10,의료,Pro,2,198000,0
C00420,2022-04-27,IT/SW,Pro,7,693000,0
C00421,2022-04-16,금융,Basic,4,116000,0
C00422,2022-01-26,스타트업,Enterprise,42,16380000,0
C00423,2022-01-11,유통/이커머스,Enterprise,26,10140000,0
C00424,2022-10-27,유통/이커머스,Basic,1,29000,0
C00425,2023-09-20,금융,Basic,1,29000,0
C00426,2022-09-20,스타트업,Basic,2,58000,0
C00427,2023-07-22,IT/SW,Enterprise,29,11310000,0
C00428,2022-01-17,유통/이커머스,Basic,2,58000,0
C00429,2023-07-10,금융,Basic,1,29000,1
C00430,2024-04-10,IT/SW,Pro,2,198000,0
C00431,2022-09-23,금융,Pro,5,495000,0
C00432,2023-06-06,IT/SW,Pro,7,693000,0
C00433,2022-02-13,공공,Basic,1,29000,1
C00434,2023-08-06,금융,Pro,6,594000,0
C00435,2023-02-22,스타트업,Basic,2,58000,1
C00436,2024-01-13,IT/SW,Basic,1,29000,0
C00437,2024-06-09,공공,Basic,1,29000,0
C00438,2022-08-31,공공,Pro,6,594000,0
C00439,2022-12-24,의료,Pro,5,495000,0
C00440,2023-04-06,스타트업,Basic,1,29000,1
C00441,2023-09-03,금융,Basic,3,87000,0
C00442,2023-11-02,IT/SW,Basic,1,29000,0
C00443,2023-01-13,의료,Pro,8,792000,1
C00444,2024-05-30,유통/이커머스,Basic,1,29000,0
C00445,2024-05-10,스타트업,Basic,1,29000,0
C00446,2023-12-31,IT/SW,Basic,1,29000,0
C00447,2022-04-08,유통/이커머스,Basic,1,29000,0
C00448,2023-02-11,금융,Basic,1,29000,0
C00449,2022-02-01,IT/SW,Pro,6,594000,0
C00450,2024-02-11,공공,Basic,1,29000,0
C00451,2022-05-26,교육,Basic,2,58000,0
C00452,2024-04-04,유통/이커머스,Pro,2,198000,0
C00453,2022-02-20,공공,Enterprise,29,11310000,0
C00454,2023-05-13,의료,Enterprise,26,10140000,0
C00455,2022-05-21,교육,Pro,8,792000,0
C00456,2023-02-02,IT/SW,Enterprise,35,13650000,0
C00457,2022-07-08,교육,Basic,1,29000,0
C00458,2022-06-06,IT/SW,Basic,1,29000,0
C00459,2023-07-24,공공,Basic,1,29000,0
C00460,2022-04-16,IT/SW,Basic,2,58000,0
C00461,2023-02-08,제조,Pro,3,297000,0
C00462,2022-01-23,스타트업,Basic,3,87000,0
C00463,2023-02-16,교육,Basic,1,29000,0
C00464,2022-05-19,유통/이커머스,Basic,1,29000,0
C00465,2023-05-04,교육,Enterprise,36,14040000,0
C00466,2023-11-27,제조,Pro,2,198000,0
C00467,2024-04-08,제조,Basic,1,29000,1
C00468,2022-01-20,교육,Basic,1,29000,1
C00469,2023-08-18,IT/SW,Basic,2,58000,0
C00470,2022-07-01,제조,Pro,4,396000,0
C00471,2022-01-28,공공,Pro,2,198000,0
C00472,2022-07-03,IT/SW,Pro,2,198000,0
C00473,2023-12-28,교육,Basic,2,58000,1
C00474,2022-05-23,IT/SW,Pro,4,396000,0
C00475,2024-03-15,제조,Basic,1,29000,0
C00476,2024-02-13,제조,Basic,1,29000,0
C00477,2023-12-02,유통/이커머스,Basic,1,29000,0
C00478,2024-04-07,유통/이커머스,Basic,1,29000,0
C00479,2022-03-27,제조,Enterprise,36,14040000,1
C00480,2022-11-23,의료,Basic,1,29000,0
C00481,2023-07-27,IT/SW,Pro,6,594000,0
C00482,2023-11-28,의료,Enterprise,26,10140000,1
C00483,2023-11-24,IT/SW,Enterprise,20,7800000,0
C00484,2023-01-16,유통/이커머스,Pro,4,396000,1
C00485,2023-12-25,유통/이커머스,Pro,1,99000,0
C00486,2023-02-19,제조,Pro,9,891000,0
C00487,2023-12-01,유통/이커머스,Enterprise,33,12870000,0
C00488,2023-02-05,공공,Pro,7,693000,0
C00489,2022-12-11,제조,Pro,6,594000,0
C00490,2023-09-02,IT/SW,Basic,2,58000,0
C00491,2022-10-24,제조,Pro,5,495000,1
C00492,2023-08-31,금융,Basic,1,29000,1
C00493,2023-10-31,스타트업,Pro,3,297000,0
C00494,2023-03-13,의료,Basic,1,29000,1
C00495,2023-02-23,금융,Basic,1,29000,0
C00496,2023-06-12,유통/이커머스,Basic,1,29000,1
C00497,2023-07-18,공공,Pro,4,396000,0
C00498,2022-07-20,유통/이커머스,Pro,1,99000,1
C00499,2022-11-19,공공,Pro,3,297000,0
C00500,2022-08-25,스타트업,Basic,1,29000,0
C00501,2024-04-13,유통/이커머스,Basic,1,29000,1
C00502,2024-02-20,유통/이커머스,Pro,11,1089000,0
C00503,2022-06-18,제조,Pro,5,495000,0
C00504,2023-08-21,금융,Pro,6,594000,0
C00505,2023-12-21,금융,Enterprise,31,12090000,1
C00506,2023-01-01,유통/이커머스,Basic,1,29000,0
C00507,2022-10-19,IT/SW,Pro,3,297000,0
C00508,2024-02-03,제조,Basic,2,58000,0
C00509,2024-03-21,공공,Basic,2,58000,1
C00510,2023-11-04,IT/SW,Basic,1,29000,0
C00511,2024-04-28,금융,Pro,6,594000,0
C00512,2022-01-04,유통/이커머스,Enterprise,42,16380000,0
C00513,2022-06-27,공공,Pro,4,396000,0
