기준월,지역,업종,총승인금액,총승인건수
2024-03,인천,식음료,148719075,2579
2024-03,인천,쇼핑,112817806,2540
2024-03,인천,교통,134774252,2312
2024-03,인천,문화/여가,90975407,2005
2024-03,인천,의료,165503763,3424
2024-03,인천,교육,235422636,4626
2024-03,인천,공과금,119442785,2263
2024-03,인천,여행,99936988,4578
2024-03,대구,식음료,19088247,858
2024-03,대구,쇼핑,135239031,5013
2024-03,대구,교통,81971729,2386
2024-03,대구,문화/여가,57203483,1566
2024-03,대구,의료,30615162,1520
2024-03,대구,교육,64041228,2184
2024-03,대구,공과금,115822888,2153
2024-03,대구,여행,63576616,2854
2024-03,대전,식음료,151277933,2723
2024-03,대전,쇼핑,81677023,1525
2024-03,대전,교통,20786462,381
2024-03,대전,문화/여가,33890482,579
2024-03,대전,의료,87959748,1725
2024-03,대전,교육,56391911,2166
2024-03,대전,공과금,5485335,196
2024-03,대전,여행,71018421,2570
2024-03,광주,식음료,202466105,9435
2024-03,광주,쇼핑,10115364,662
2024-03,광주,교통,71902866,1264
2024-03,광주,문화/여가,42574741,2301
2024-03,광주,의료,62725130,2827
2024-03,광주,교육,37279493,874
2024-03,광주,공과금,158179308,3103
2024-03,광주,여행,35780139,1601
2024-03,울산,식음료,83976322,2323
2024-03,울산,쇼핑,41410007,1196
2024-03,울산,교통,57189707,1024
2024-03,울산,문화/여가,12727495,415
2024-03,울산,의료,77640506,3267
2024-03,울산,교육,52054552,2835
2024-03,울산,공과금,42250739,1121
2024-03,울산,여행,35302844,823
2024-03,세종,식음료,11126071,253
2024-03,세종,쇼핑,5246677,216
2024-03,세종,교통,28912554,731
2024-03,세종,문화/여가,28437114,1391
2024-03,세종,의료,18997971,329
2024-03,세종,교육,13314568,398
2024-03,세종,공과금,13143836,353
2024-03,세종,여행,6382927,185
2024-03,강원,식음료,39696584,1041
2024-03,강원,쇼핑,44322312,1797
2024-03,강원,교통,26072345,1504
2024-03,강원,문화/여가,19076986,359
2024-03,강원,의료,65725079,1097
2024-03,강원,교육,46465228,837
2024-03,강원,공과금,36160078,735
2024-03,강원,여행,28430630,513
2024-03,충북,식음료,26172972,1408
2024-03,충북,쇼핑,70601447,2029
2024-03,충북,교통,40866114,925
2024-03,충북,문화/여가,33481836,796
2024-03,충북,의료,35263580,900
2024-03,충북,교육,87699925,4312
2024-03,충북,공과금,76706669,1280
2024-03,충북,여행,54017174,2267
2024-03,충남,식음료,156944085,2949
2024-03,충남,쇼핑,27869509,902
2024-03,충남,교통,67226158,1549
2024-03,충남,문화/여가,40878298,794
2024-03,충남,의료,93314742,5958
2024-03,충남,교육,57883579,1173
2024-03,충남,공과금,48612576,1395
2024-03,충남,여행,41565986,2562
2024-03,전북,식음료,39422317,756
2024-03,전북,쇼핑,34211085,732
2024-03,전북,교통,59568881,3105
2024-03,전북,문화/여가,34296373,1999
2024-03,전북,의료,29344120,655
2024-03,전북,교육,49690375,1101
2024-03,전북,공과금,14101326,251
2024-03,전북,여행,36359582,676
2024-03,전남,식음료,43903628,1284
2024-03,전남,쇼핑,35829502,911
2024-03,전남,교통,36616981,1195
2024-03,전남,문화/여가,49514013,1078
2024-03,전남,의료,37861051,641
2024-03,전남,교육,69923988,2238
2024-03,전남,공과금,129347237,2415
2024-03,전남,여행,24180647,607
2024-03,경북,식음료,36034625,721
2024-03,경북,쇼핑,69158823,1336
2024-03,경북,교통,41626740,853
2024-03,경북,문화/여가,23084165,547
2024-03,경북,의료,70078521,1372
2024-03,경북,교육,47941063,1077
2024-03,경북,공과금,48382761,915
2024-03,경북,여행,57545295,1501
2024-03,경남,식음료,147200960,4296
2024-03,경남,쇼핑,123515411,6728
2024-03,경남,교통,60115251,1649
2024-03,경남,문화/여가,28592245,1866
2024-03,경남,의료,38876612,1291
2024-03,경남,교육,129184572,4476
2024-03,경남,공과금,40438852,1387
2024-03,경남,여행,102513838,3614
2024-03,제주,식음료,25793497,1269
2024-03,제주,쇼핑,29197768,567
2024-03,제주,교통,50459335,967
2024-03,제주,문화/여가,18219756,508
2024-03,제주,의료,39391082,824
2024-03,제주,교육,63173645,1594
2024-03,제주,공과금,24859447,986
2024-03,제주,여행,23999441,891
2024-04,서울,식음료,1122940632,61581
2024-04,서울,쇼핑,563153454,9758
2024-04,서울,교통,508063115,10544
2024-04,서울,문화/여가,348635672,8865
2024-04,서울,의료,508781574,13101
2024-04,서울,교육,333605053,10252
2024-04,서울,공과금,505754637,15466
2024-04,서울,여행,345267345,7095
2024-04,경기,식음료,224128217,3987
2024-04,경기,쇼핑,234456702,5040
2024-04,경기,교통,319170508,19086
2024-04,경기,문화/여가,912166138,19176
2024-04,경기,의료,436928822,15180
2024-04,경기,교육,283461031,15634
2024-04,경기,공과금,247434156,14745
2024-04,경기,여행,552796230,16446
2024-04,부산,식음료,103878399,2973
2024-04,부산,쇼핑,64420017,2511
2024-04,부산,교통,76402194,1396
2024-04,부산,문화/여가,110700965,2800
2024-04,부산,의료,125758206,2246
2024-04,부산,교육,174321140,3855
2024-04,부산,공과금,64351124,2211
2024-04,부산,여행,163954498,3506
2024-04,인천,식음료,17011249,410
2024-04,인천,쇼핑,90541725,2727
2024-04,인천,교통,118128114,2969
2024-04,인천,문화/여가,193164144,5402
2024-04,인천,의료,167648292,10906
2024-04,인천,교육,106581085,2008
2024-04,인천,공과금,45627643,1045
2024-04,인천,여행,105748776,3637
2024-04,대구,식음료,101289780,3028
2024-04,대구,쇼핑,166202484,2874
2024-04,대구,교통,120942375,2604
2024-04,대구,문화/여가,128225139,7911
2024-04,대구,의료,128222521,2787
2024-04,대구,교육,170319341,3029
2024-04,대구,공과금,312329604,5861
2024-04,대구,여행,211717220,3562
2024-04,대전,식음료,92343047,3421
2024-04,대전,쇼핑,65429748,2034
2024-04,대전,교통,54968494,3221
2024-04,대전,문화/여가,78152752,2864
2024-04,대전,의료,51009624,968
2024-04,대전,교육,60453792,1788
2024-04,대전,공과금,63480683,1475
2024-04,대전,여행,27320620,1484
2024-04,광주,식음료,35726868,2058
2024-04,광주,쇼핑,49795398,1087
2024-04,광주,교통,50479014,3315
2024-04,광주,문화/여가,59557743,1937
2024-04,광주,의료,23998754,436
2024-04,광주,교육,105559294,4350
2024-04,광주,공과금,105703165,2127
2024-04,광주,여행,54155710,1235
2024-04,울산,식음료,14875602,494
2024-04,울산,쇼핑,38322317,765
2024-04,울산,교통,9027535,209
2024-04,울산,문화/여가,24518784,886
2024-04,울산,의료,26211035,652
2024-04,울산,교육,87490675,5148
2024-04,울산,공과금,24639930,853
2024-04,울산,여행,36713167,1767
2024-04,세종,식음료,14207818,289
2024-04,세종,쇼핑,7075425,127
2024-04,세종,교통,17224810,311
2024-04,세종,문화/여가,11197992,250
2024-04,세종,의료,17790834,454
2024-04,세종,교육,14664495,383
2024-04,세종,공과금,22302993,632
2024-04,세종,여행,17019124,606
2024-04,강원,식음료,27898382,637
2024-04,강원,쇼핑,75630608,1637
2024-04,강원,교통,13711254,819
2024-04,강원,문화/여가,5622823,232
2024-04,강원,의료,91039328,1664
2024-04,강원,교육,14969503,365
2024-04,강원,공과금,45205747,2396
2024-04,강원,여행,65598063,1463
2024-04,충북,식음료,25855168,632
2024-04,충북,쇼핑,35280898,1492
2024-04,충북,교통,47155980,827
2024-04,충북,문화/여가,37842145,953
2024-04,충북,의료,48954353,819
2024-04,충북,교육,12898221,521
2024-04,충북,공과금,31571175,961
2024-04,충북,여행,32858228,1236
2024-04,충남,식음료,64049802,1079
2024-04,충남,쇼핑,20549763,403
2024-04,충남,교통,50633699,1499
2024-04,충남,문화/여가,26911379,1108
2024-04,충남,의료,42442530,1615
2024-04,충남,교육,51699911,1081
2024-04,충남,공과금,112095654,2082
2024-04,충남,여행,33051753,669
2024-04,전북,식음료,21324018,368
2024-04,전북,쇼핑,64398977,1155
2024-04,전북,교통,14749962,419
2024-04,전북,문화/여가,51106227,1577
2024-04,전북,의료,55017522,1005
2024-04,전북,교육,10103538,285
2024-04,전북,공과금,28983884,1276
2024-04,전북,여행,55663419,1420
2024-04,전남,식음료,105228648,2219
2024-04,전남,쇼핑,49858774,886
2024-04,전남,교통,27999439,665
2024-04,전남,문화/여가,35502221,630
2024-04,전남,의료,61444530,1378
2024-04,전남,교육,44556545,869
2024-04,전남,공과금,32199668,1395
2024-04,전남,여행,31217653,522
2024-04,경북,식음료,25504182,617
2024-04,경북,쇼핑,103248934,3021
2024-04,경북,교통,70120577,1954
2024-04,경북,문화/여가,141302648,3708
2024-04,경북,의료,38524828,1459
2024-04,경북,교육,38253202,1562
2024-04,경북,공과금,17973220,383
2024-04,경북,여행,25209592,766
2024-04,경남,식음료,139836492,3580
2024-04,경남,쇼핑,100752314,2395
2024-04,경남,교통,103570397,2027
2024-04,경남,문화/여가,164206848,3843
2024-04,경남,의료,35871059,613
2024-04,경남,교육,112347830,2723
2024-04,경남,공과금,58032233,2012
2024-04,경남,여행,40397722,914
2024-04,제주,식음료,25294700,624
2024-04,제주,쇼핑,79449842,2758
2024-04,제주,교통,41428539,960
2024-04,제주,문화/여가,41268849,1343
2024-04,제주,의료,50578210,1004
2024-04,제주,교육,72858522,1631
2024-04,제주,공과금,33668636,571
2024-04,제주,여행,24345662,709
2024-05,서울,식음료,282483471,11234
2024-05,서울,쇼핑,378556584,8506
2024-05,서울,교통,151224632,4073
2024-05,서울,문화/여가,903127339,15076
2024-05,서울,의료,667617514,36821
2024-05,서울,교육,190661614,3970
2024-05,서울,공과금,167397429,3087
2024-05,서울,여행,479537959,11020
2024-05,경기,식음료,194868164,3579
2024-05,경기,쇼핑,612515940,11235
2024-05,경기,교통,439873639,20149
2024-05,경기,문화/여가,663297850,17909
2024-05,경기,의료,101008255,3282
2024-05,경기,교육,592193899,17689
2024-05,경기,공과금,610030281,16628
2024-05,경기,여행,220772219,10936
2024-05,부산,식음료,243449043,6734
2024-05,부산,쇼핑,62410161,2148
2024-05,부산,교통,111900732,2657
2024-05,부산,문화/여가,132728074,5425
2024-05,부산,의료,444454790,23273
2024-05,부산,교육,106803286,6578
2024-05,부산,공과금,104851068,3971
2024-05,부산,여행,291972784,15523
2024-05,인천,식음료,298990612,13240
2024-05,인천,쇼핑,173011134,5728
2024-05,인천,교통,100557490,3257
2024-05,인천,문화/여가,104069500,2390
2024-05,인천,의료,68142456,1830
2024-05,인천,교육,54588620,1258
2024-05,인천,공과금,205874917,7811
2024-05,인천,여행,352431514,9671
2024-05,대구,식음료,69099211,1212
2024-05,대구,쇼핑,44999377,815
2024-05,대구,교통,94896163,1774
2024-05,대구,문화/여가,131566950,4145
2024-05,대구,의료,25099203,584
2024-05,대구,교육,64189152,2398
2024-05,대구,공과금,163643871,2810
2024-05,대구,여행,38597927,679
2024-05,대전,식음료,84628793,2762
2024-05,대전,쇼핑,76515093,1889
2024-05,대전,교통,44019166,844
2024-05,대전,문화/여가,14614654,407
2024-05,대전,의료,11006771,695
2024-05,대전,교육,18820950,415
2024-05,대전,공과금,67363928,2808
2024-05,대전,여행,48601346,873
2024-05,광주,식음료,103689117,2775
2024-05,광주,쇼핑,176846159,6764
2024-05,광주,교통,35882366,1544
2024-05,광주,문화/여가,25009458,438
2024-05,광주,의료,27010777,787
2024-05,광주,교육,58913653,1075
2024-05,광주,공과금,55176830,1278
2024-05,광주,여행,70783521,3720
2024-05,울산,식음료,5872659,219
2024-05,울산,쇼핑,20141981,1090
2024-05,울산,교통,54859689,1107
2024-05,울산,문화/여가,18193396,590
2024-05,울산,의료,44922579,984
2024-05,울산,교육,73298232,1263
2024-05,울산,공과금,54594183,2645
2024-05,울산,여행,22068955,665
2024-05,세종,식음료,7491607,147
2024-05,세종,쇼핑,23227182,554
2024-05,세종,교통,17672661,347
2024-05,세종,문화/여가,13888917,354
2024-05,세종,의료,12953531,271
2024-05,세종,교육,42245469,822
2024-05,세종,공과금,16132351,738
2024-05,세종,여행,27636064,596
2024-05,강원,식음료,37928980,640
2024-05,강원,쇼핑,91164424,2265
2024-05,강원,교통,30062930,606
2024-05,강원,문화/여가,70233029,2770
2024-05,강원,의료,37600492,1678
2024-05,강원,교육,40878669,860
2024-05,강원,공과금,55902389,1689
2024-05,강원,여행,19716540,404
2024-05,충북,식음료,22961509,482
2024-05,충북,쇼핑,34049001,941
2024-05,충북,교통,34633654,1000
2024-05,충북,문화/여가,19040043,752
2024-05,충북,의료,71537101,1830
2024-05,충북,교육,31211156,1396
2024-05,충북,공과금,13976146,826
2024-05,충북,여행,67765338,1253
2024-05,충남,식음료,142651124,2692
2024-05,충남,쇼핑,33548510,562
2024-05,충남,교통,10535001,219
2024-05,충남,문화/여가,74160521,4525
2024-05,충남,의료,47522442,1151
2024-05,충남,교육,52898100,1646
2024-05,충남,공과금,24823496,531
2024-05,충남,여행,44141993,866
2024-05,전북,식음료,46215594,858
2024-05,전북,쇼핑,36866002,654
2024-05,전북,교통,34587076,911
2024-05,전북,문화/여가,22060668,375
2024-05,전북,의료,25314446,480
2024-05,전북,교육,20724393,1239
2024-05,전북,공과금,14327083,425
2024-05,전북,여행,36361894,819
2024-05,전남,식음료,76904639,4396
2024-05,전남,쇼핑,34476858,2055
2024-05,전남,교통,36911288,1504
2024-05,전남,문화/여가,72411247,3073
2024-05,전남,의료,32637586,956
2024-05,전남,교육,51318081,2429
2024-05,전남,공과금,73782234,2631
2024-05,전남,여행,56895595,2879
2024-05,경북,식음료,78444804,4550
2024-05,경북,쇼핑,36550242,1229
2024-05,경북,교통,83022863,2343
2024-05,경북,문화/여가,89378339,5915
2024-05,경북,의료,43543656,1124
2024-05,경북,교육,93534717,3116
2024-05,경북,공과금,56413263,2330
2024-05,경북,여행,39669029,920
2024-05,경남,식음료,118956598,2393
2024-05,경남,쇼핑,129388442,3861
2024-05,경남,교통,66519845,1726
2024-05,경남,문화/여가,104713730,2188
2024-05,경남,의료,32557120,1403
2024-05,경남,교육,40714693,936
2024-05,경남,공과금,45713160,1291
2024-05,경남,여행,96095338,5384
2024-05,제주,식음료,39246724,773
2024-05,제주,쇼핑,29449452,726
2024-05,제주,교통,13304288,246
2024-05,제주,문화/여가,28980937,1856
2024-05,제주,의료,125952772,3903
2024-05,제주,교육,20015024,759
2024-05,제주,공과금,21368820,617
2024-05,제주,여행,36653892,1150
2024-06,서울,식음료,592497159,10487
2024-06,서울,쇼핑,502668896,11634
2024-06,서울,교통,270879301,8261
2024-06,서울,문화/여가,565696056,13955
2024-06,서울,의료,452755049,8058
2024-06,서울,교육,560610271,10492
2024-06,서울,공과금,223050957,4247
2024-06,서울,여행,901894135,29210
2024-06,경기,식음료,289312033,10589
2024-06,경기,쇼핑,469500243,9540
2024-06,경기,교통,402945076,7599
2024-06,경기,문화/여가,189319525,6851
2024-06,경기,의료,228701445,10001
2024-06,경기,교육,758516945,22270
2024-06,경기,공과금,523313955,9739
2024-06,경기,여행,356069239,9690
2024-06,부산,식음료,269400341,7243
2024-06,부산,쇼핑,113749701,4707
2024-06,부산,교통,83250923,2197
2024-06,부산,문화/여가,70849654,2747
2024-06,부산,의료,25706051,1229
2024-06,부산,교육,115360724,4938
2024-06,부산,공과금,49645406,948
2024-06,부산,여행,173831525,6686
2024-06,인천,식음료,151280231,4150
2024-06,인천,쇼핑,76832437,4739
2024-06,인천,교통,62138403,2219
2024-06,인천,문화/여가,81759103,1905
2024-06,인천,의료,167207795,10232
2024-06,인천,교육,43880928,827
2024-06,인천,공과금,157192422,4650
2024-06,인천,여행,6119185,130
2024-06,대구,식음료,132230161,2704
2024-06,대구,쇼핑,211760791,6494
2024-06,대구,교통,59109913,2241
2024-06,대구,문화/여가,40098843,1369
2024-06,대구,의료,63969275,1817
2024-06,대구,교육,23894454,1199
2024-06,대구,공과금,188778479,5216
2024-06,대구,여행,160355684,3348
2024-06,대전,식음료,19873114,393
2024-06,대전,쇼핑,42788143,964
2024-06,대전,교통,43830214,2764
2024-06,대전,문화/여가,11063889,628
2024-06,대전,의료,73825159,1758
2024-06,대전,교육,51129282,2185
2024-06,대전,공과금,72504623,4348
2024-06,대전,여행,55961613,1476
2024-06,광주,식음료,84834098,3536
2024-06,광주,쇼핑,19035564,727
2024-06,광주,교통,107101902,1920
2024-06,광주,문화/여가,116754135,3704
2024-06,광주,의료,159918496,4071
2024-06,광주,교육,43280662,2384
2024-06,광주,공과금,20165518,916
2024-06,광주,여행,54967367,2108
2024-06,울산,식음료,57517478,1295
2024-06,울산,쇼핑,31932628,558
2024-06,울산,교통,34552345,983
2024-06,울산,문화/여가,38646461,1776
2024-06,울산,의료,16639079,302
2024-06,울산,교육,37922674,1118
2024-06,울산,공과금,11510890,217
2024-06,울산,여행,67997033,2424
2024-06,세종,식음료,18413433,1068
2024-06,세종,쇼핑,20364278,476
2024-06,세종,교통,13582408,414
