거래일시,사용자ID,결제수단,가맹점업종,거래금액,지역,연령대,거래상태
2024-10-02 10:51:00,U003868,신용카드,교육,48453.0,서울,30대,성공
2024-01-28 16:23:00,U003632,신용카드,여행,144465.0,인천,50대,성공
2024-03-15 10:46:00,U001329,체크카드,식음료,9570.0,경기,50대,성공
2024-05-28 08:13:00,U003123,체크카드,교통,4790.0,경기,30대,성공
2024-02-07 16:50:00,U001333,계좌이체,교통,2035.0,서울,10대,성공
2024/02/16 18:49,U001726,신용카드,식음료,7791.0,서울,30대,성공
2024-08-28 13:56:00,U000145,계좌이체,교통,1498.0,서울,30대,성공
2024-12-15 12:18:00,U002444, 신용카드 ,쇼핑,6991.0,서울,30대,성공
2024-08-12 13:57:00,U000334,신용카드,기타,25267.0,서울,,성공
2024-01-28 09:23:00,U002045,신용카드,식음료,8918.0,경기,30대,성공
2024-09-24 15:04:00,U003716,신용카드,문화/여가,27542.0,서울,20대,성공
2024-05-05 15:53:00,U000966,휴대폰결제,여행,822016.0,서울,20대,성공
2024-04-29 17:53:00,U002926,신용카드,공과금,66351.0,서울,30대,실패
2024-12-06 02:42:00,U001506,계좌이체,교육,89474.0,경기,,성공
2024-12-14 19:14:00,U001700,신용카드,교통,14313.0,,30대,성공
2024-06-09 19:24:00,U003024,체크카드,여행,229210.0,경기,50대,성공
2024-06-08 04:36:00,U001057,체크카드,교육,148505.0,서울,50대,성공
2024-04-07 11:01:00,U002229,체크카드,식음료,22443.0,경기,40대,실패
2024-08-07 08:43:00,U000414,신용카드,식음료,6495.0,서울,20대,성공
2024-11-27 17:23:00,U003574, 신용카드 ,교육,15023.0,서울,30대,성공
2024-07-26 13:42:00,U003876,신용카드,쇼핑,74985.0,경기,30대,성공
2024/07/06 12:54,U003584,계좌이체,기타,13665.0,,10대,성공
2024-11-24 19:05:00,U003685,체크카드,쇼핑,57398.0,서울,10대,성공
2024-12-14 19:52:00,U000808,계좌이체,식음료,11904.0,대구,40대,실패
2024-02-27 19:42:00,U000245,포인트결제,쇼핑,35350.0,경북,30대,성공
2024-03-02 12:12:00,U002978,체크카드,공과금,51407.0,서울,50대,성공
2024/12/08 18:22,U003902,휴대폰결제,식음료,62363.0,경기,30대,성공
2024/08/07 08:22,U002333,휴대폰결제,여행,88749.0,,60대 이상,성공
2024-04-28 21:14:00,U000571,신용카드,문화/여가,21392.0,,20대,성공
2024-02-17 11:35:00,U002514,신용카드,교통,4443.0,광주,30대,성공
2024-07-20 21:27:00,U003136,계좌이체,식음료,13086.0,서울,50대,성공
2024-03-01 09:06:00,U002543,계좌이체,쇼핑,47804.0,,10대,성공
2024-04-30 19:18:00,U003362,체크카드,의료,65839.0,부산,30대,성공
2024-10-17 11:44:00,U000075,,쇼핑,19274.0,서울,40대,성공
2024/02/12 20:48,U001617,신용카드,식음료,28105.0,충남,40대,성공
2024-09-17 08:17:00,U003841,체크카드,교통,4331.0,서울,,성공
2024-05-07 18:01:00,U002569,계좌이체,여행,110871.0,인천,20대,성공
2024-11-22 22:17:00,U000474,,쇼핑,20949.0,서울,10대,성공
2024-12-24 19:01:00,U000794,신용카드,기타,3469.0,전남,60대 이상,성공
2024-01-18 20:51:00,U003839,체크카드,식음료,5525.0,인천,20대,성공
2024-07-19 12:48:00,U000021,계좌이체,식음료,27605.0,울산,20대,성공
2024-05-22 16:12:00,U002917,신용카드,공과금,75727.0,서울,40대,성공
2024/01/31 12:36,U001475,신용카드,식음료,62211.0,충남,30대,성공
2024-10-14 20:48:00,U003762, 신용카드 ,공과금,116588.0,경기,20대,성공
2024-04-08 08:16:00,U002118,계좌이체,공과금,41138.0,경남,20대,성공
2024-05-15 19:26:00,U003503,신용카드,교통,18137.0,광주,10대,성공
2024-11-30 20:21:00,U000283,,교통,3232.0,대구,30대,성공
2024-03-18 19:14:00,U002771,포인트결제,교통,5251.0,울산,30대,실패
2024-05-15 13:28:00,U000169,신용카드,교통,,광주,40대,성공
2024-09-02 12:54:00,U002736,계좌이체,의료,23177.0,서울,30대,성공
2024-07-02 14:19:00,U003994,계좌이체,문화/여가,19690.0,서울,40대,성공
2024/05/17 07:27,U002402, 신용카드 ,기타,35316.0,서울,40대,성공
2024-05-19 13:16:00,U000497,신용카드,식음료,44909.0,경기,,성공
2024-07-09 13:57:00,U000047,신용카드,교통,4757.0,경기,20대,성공
2024-05-23 08:42:00,U003706,포인트결제,쇼핑,52384.0,,,성공
2024-09-25 10:42:00,U003350, 신용카드 ,식음료,3950.0,서울,20대,성공
2024-11-02 21:24:00,U001792,신용카드,쇼핑,21009.0,충북,30대,성공
2024-01-19 17:35:00,U003474,포인트결제,쇼핑,71113.0,서울,30대,성공
2024-11-26 19:31:00,U002546,계좌이체,교육,206061.0,경남,30대,실패
2024/12/03 12:31,U001107,계좌이체,교통,1820.0,대전,20대,성공
2024-02-28 04:19:00,U002611,체크카드,기타,26484.0,인천,40대,성공
2024-06-27 18:48:00,U003451,계좌이체,식음료,2470.0,인천,20대,성공
2024-02-07 19:37:00,U001026,계좌이체,쇼핑,20565.0,,40대,성공
2024-10-20 18:44:00,U002156,신용카드,식음료,21788.0,서울,10대,성공
2024-02-04 16:16:00,U003247,계좌이체,교육,167191.0,충북,20대,성공
2024-08-10 09:33:00,U001644,신용카드,쇼핑,38514.0,서울,30대,성공
2024/10/23 15:17,U001813,신용카드,식음료,2038.0,서울,50대,성공
2024-01-02 18:29:00,U001108,신용카드,쇼핑,35403.0,대구,50대,성공
2024-05-17 17:31:00,U001549,계좌이체,식음료,17026.0,전북,30대,성공
2024-07-30 08:24:00,U001484,체크카드,교육,102263.0,,30대,성공
2024-11-02 20:45:00,U003025,계좌이체,기타,18418.0,경기,20대,성공
2024-01-29 09:11:00,U002113, 신용카드 ,의료,20131.0,광주,30대,성공
2024-04-30 10:48:00,U000144,포인트결제,의료,46556.0,충남,20대,성공
2024-10-25 21:50:00,U003448,체크카드,공과금,,서울,20대,성공
2024/12/05 20:47,U003360,계좌이체,공과금,44578.0,충북,30대,성공
2024/08/25 16:24,U000054,포인트결제,교통,5252.0,경기,20대,성공
2024-03-25 15:38:00,U003705,체크카드,쇼핑,315179.0,서울,20대,성공
2024/08/10 16:12,U001389,신용카드,식음료,5454.0,경기,30대,성공
2024-03-22 18:03:00,U001076,신용카드,식음료,29077.0,서울,30대,성공
2024-06-09 11:01:00,U002529,신용카드,기타,26877.0,경기,30대,성공
2024/03/13 22:35,U000865,체크카드,식음료,21169.0,인천,50대,성공
2024-05-27 13:32:00,U000479,체크카드,교육,129445.0,서울,50대,성공
2024-12-13 22:29:00,U002720,체크카드,기타,51270.0,경기,,성공
2024-11-25 19:17:00,U003462,체크카드,교통,759.0,경기,30대,성공
2024-07-21 21:23:00,U003937,계좌이체,문화/여가,41276.0,경기,20대,성공
2024-06-26 20:15:00,U003060,신용카드,식음료,7704.0,제주,,성공
2024-12-27 11:49:00,U000234,포인트결제,쇼핑,148469.0,서울,30대,성공
2024-07-20 02:47:00,U001104,계좌이체,식음료,34580.0,경기,30대,성공
2024/03/19 18:30,U002341,포인트결제,교통,4982.0,서울,50대,실패
2024-12-06 07:34:00,U003583,신용카드,식음료,24764.0,대전,20대,성공
2024-12-18 22:08:00,U003844,포인트결제,의료,53346.0,광주,30대,성공
2024-05-26 09:50:00,U001148,포인트결제,쇼핑,103394.0,경남,50대,성공
2024/06/13 12:54,U001611,신용카드,쇼핑,33517.0,서울,40대,성공
2024/05/15 15:49,U001246,체크카드,여행,142640.0,서울,10대,성공
2024-09-17 14:48:00,U002351,계좌이체,식음료,15397.0,충남,30대,성공
2024/03/05 10:53,U000377, 신용카드 ,식음료,17711.0,충남,30대,성공
2024-03-29 10:23:00,U000204,신용카드,교통,1474.0,충북,,성공
2024-01-29 20:51:00,U000866,포인트결제,교통,1139.0,부산,30대,성공
2024-06-05 12:57:00,U000217,신용카드,공과금,88084.0,서울,30대,취소
2024-07-21 11:20:00,U001957,계좌이체,교통,2955.0,서울,20대,성공
2024-05-19 12:37:00,U003268,포인트결제,식음료,15679.0,경북,30대,실패
2024-07-29 22:23:00,U001232,계좌이체,기타,5779.0,경기,20대,성공
2024-12-01 11:02:00,U001129,계좌이체,쇼핑,25231.0,서울,50대,성공
2024-07-02 23:05:00,U003146,계좌이체,쇼핑,111750.0,경남,30대,성공
2024-09-03 15:34:00,U000576,신용카드,의료,48032.0,경기,20대,성공
2024/01/06 02:54,U002585,체크카드,교통,7147.0,경기,30대,성공
2024/01/23 06:14,U003144,계좌이체,쇼핑,114315.0,경기,30대,성공
2024-11-14 11:17:00,U001797, 신용카드 ,쇼핑,109408.0,경남,60대 이상,성공
2024-02-13 19:53:00,U000580,신용카드,문화/여가,9714.0,,30대,성공
2024-08-28 16:18:00,U003057,신용카드,쇼핑,41206.0,서울,50대,성공
2024/03/22 02:11,U001145,신용카드,식음료,36550.0,서울,40대,성공
2024/10/03 22:31,U002864,신용카드,쇼핑,10950.0,충남,30대,성공
2024-06-11 11:30:00,U001485,,교육,118124.0,경기,20대,성공
2024-04-05 14:36:00,U000302,체크카드,교통,3393.0,대구,30대,성공
2024-09-22 07:33:00,U002485,포인트결제,쇼핑,7180.0,경기,,성공
2024/11/05 11:14,U000132,계좌이체,식음료,45609.0,경남,30대,성공
2024-10-13 10:40:00,U000834,신용카드,교육,32580.0,경남,20대,실패
2024-05-02 12:32:00,U001705,계좌이체,공과금,65042.0,경기,40대,성공
2024-03-20 18:12:00,U003848,신용카드,여행,169091.0,경기,40대,성공
2024-10-17 17:08:00,U001468,계좌이체,식음료,19532.0,서울,30대,성공
2024-12-01 05:06:00,U002645, 신용카드 ,쇼핑,45658.0,경기,50대,성공
2024-03-05 16:00:00,U000304,신용카드,식음료,19849.0,경기,20대,성공
2024-02-08 20:55:00,U002096,체크카드,교통,2769.0,대전,40대,성공
2024-08-30 11:05:00,U002417, 신용카드 ,기타,14798.0,충남,20대,성공
2024-05-16 20:27:00,U000514,휴대폰결제,문화/여가,45980.0,경기,20대,성공
2024-09-17 07:29:00,U001277, 신용카드 ,쇼핑,53083.0,경기,50대,성공
2024-11-20 21:37:00,U000904,포인트결제,문화/여가,13051.0,서울,,성공
2024/01/13 09:27,U003257,신용카드,쇼핑,23544.0,광주,20대,성공
2024-05-24 22:51:00,U003725,체크카드,식음료,29374.0,서울,50대,실패
2024/06/10 13:28,U000093,신용카드,기타,40340.0,경기,30대,성공
2024-03-16 13:18:00,U000456,신용카드,교통,919.0,경기,20대,성공
2024-06-13 14:13:00,U003474,휴대폰결제,쇼핑,126661.0,서울,20대,성공
2024-07-03 19:58:00,U002354,포인트결제,교통,3500.0,서울,40대,성공
2024-03-12 22:21:00,U001353,신용카드,문화/여가,34554.0,강원,40대,성공
2024/05/09 12:18,U000265, 신용카드 ,교통,6285.0,부산,,성공
2024-03-14 09:35:00,U003568, 신용카드 ,문화/여가,32927.0,경기,30대,성공
2024-03-05 12:47:00,U002153,신용카드,공과금,51911.0,서울,10대,성공
2024-07-09 18:08:00,U001972,신용카드,교육,52213.0,대구,50대,성공
2024-11-06 15:34:00,U000651,체크카드,기타,9235.0,경기,20대,성공
2024-09-26 09:00:00,U003836,계좌이체,의료,79180.0,광주,30대,실패
2024-03-10 21:16:00,U002750,신용카드,기타,9825.0,울산,20대,성공
2024-07-20 10:15:00,U003360,포인트결제,식음료,8654.0,경기,40대,성공
2024-11-06 08:58:00,U002626,,식음료,28299.0,경기,30대,성공
2024-09-20 22:26:00,U001332, 신용카드 ,공과금,190232.0,광주,20대,성공
2024/01/21 18:50,U002280,신용카드,쇼핑,61150.0,대구,30대,성공
2024-11-10 09:53:00,U002343,신용카드,교통,5136.0,서울,30대,성공
2024-06-11 14:29:00,U003713,신용카드,교통,3343.0,전남,30대,성공
2024-08-01 14:21:00,U003150,휴대폰결제,식음료,2807.0,서울,,성공
2024-04-18 12:23:00,U000248,계좌이체,식음료,35832.0,서울,40대,취소
2024-06-19 06:39:00,U003112,신용카드,의료,36684.0,경남,50대,성공
2024-09-18 08:16:00,U000737,신용카드,교통,4176.0,경기,40대,성공
2024-05-12 12:07:00,U003302,신용카드,기타,25364.0,충남,20대,성공
2024-11-08 13:41:00,U001214,신용카드,쇼핑,51375.0,서울,30대,성공
2024-07-25 09:16:00,U000976,신용카드,쇼핑,90369.0,경기,10대,성공
2024-02-28 21:11:00,U000431,체크카드,쇼핑,63287.0,전남,30대,성공
2024-08-17 13:39:00,U000134,신용카드,식음료,35546.0,,,성공
2024-02-26 19:00:00,U000820,신용카드,쇼핑,179002.0,부산,20대,성공
2024-04-14 12:20:00,U002668,신용카드,식음료,4561.0,서울,20대,성공
2024-05-04 08:53:00,U003144,포인트결제,공과금,17720.0,서울,20대,성공
2024-01-13 09:06:00,U000082,체크카드,쇼핑,16606.0,서울,40대,성공
2024-12-02 20:53:00,U002634,체크카드,식음료,8730.0,부산,40대,성공
2024-10-08 12:14:00,U001732, 신용카드 ,쇼핑,27816.0,서울,30대,성공
2024-05-02 16:42:00,U002871,,기타,19251.0,경북,40대,성공
2024-08-28 22:04:00,U003496,포인트결제,기타,9860.0,경기,30대,성공
2024-01-24 19:25:00,U000824,신용카드,쇼핑,12722.0,제주,30대,성공
2024-12-30 21:44:00,U000245,체크카드,쇼핑,83324.0,서울,60대 이상,취소
2024-06-20 14:31:00,U003804,신용카드,문화/여가,41447.0,부산,60대 이상,성공
2024-05-13 07:47:00,U000665,계좌이체,식음료,57577.0,제주,30대,성공
2024-07-26 19:54:00,U001127,신용카드,교통,2569.0,경기,20대,성공
2024-08-01 10:14:00,U000746,신용카드,기타,,부산,30대,성공
2024/06/20 22:31,U002556,신용카드,기타,4480.0,,40대,성공
2024-10-07 19:00:00,U002955,체크카드,교육,79989.0,서울,30대,실패
2024-01-22 21:11:00,U001099,신용카드,쇼핑,36081.0,제주,,성공
2024-03-06 12:05:00,U002111,신용카드,식음료,3257.0,경기,20대,성공
2024-10-14 13:11:00,U000020,계좌이체,교통,3913.0,경기,50대,성공
2024-06-07 12:04:00,U002367,체크카드,쇼핑,32640.0,서울,20대,성공
2024/01/20 19:38,U003446,휴대폰결제,교육,181445.0,인천,20대,성공
2024-05-04 01:19:00,U002153,신용카드,식음료,41050.0,제주,20대,성공
2024-07-01 14:51:00,U000542,신용카드,식음료,10328.0,서울,,성공
2024-12-29 20:57:00,U000691,신용카드,교통,579.0,경기,30대,성공
2024-07-14 20:37:00,U003263,휴대폰결제,문화/여가,45043.0,인천,10대,성공
2024/03/22 13:14,U003223,체크카드,여행,116044.0,서울,10대,성공
2024-07-23 12:30:00,U000272,체크카드,의료,45384.0,경기,40대,취소
2024-05-04 22:43:00,U002327,신용카드,교통,,서울,40대,성공
2024-10-23 17:26:00,U000950, 신용카드 ,기타,5629.0,서울,20대,성공
2024-04-21 22:10:00,U001283,휴대폰결제,여행,390450.0,서울,20대,성공
2024-09-27 01:51:00,U001186,휴대폰결제,쇼핑,5275.0,서울,30대,성공
2024-01-21 22:12:00,U002040,계좌이체,식음료,5011.0,서울,20대,성공
2024-05-08 18:06:00,U003096,신용카드,공과금,52343.0,부산,50대,성공
2024-01-30 19:27:00,U003382,신용카드,쇼핑,62397.0,경기,20대,성공
2024-07-02 03:35:00,U000345,신용카드,교통,3277.0,서울,30대,성공
2024-06-13 11:20:00,U002594,휴대폰결제,공과금,65973.0,서울,30대,성공
2024-11-15 17:43:00,U002515, 신용카드 ,공과금,138003.0,경기,40대,성공
2024-06-29 20:11:00,U003487,휴대폰결제,식음료,6467.0,서울,30대,성공
2024-03-15 14:16:00,U002562,계좌이체,쇼핑,101948.0,경기,30대,성공
2024-09-30 13:41:00,U003997,,쇼핑,49229.0,인천,40대,성공
2024-04-25 09:20:00,U003923,계좌이체,쇼핑,46493.0,충남,40대,성공
2024-01-01 14:57:00,U000398,계좌이체,쇼핑,69658.0,서울,30대,성공
2024-01-07 12:29:00,U003141,신용카드,의료,21270.0,경기,40대,성공
2024/03/09 12:02,U003297,체크카드,쇼핑,2356.0,울산,40대,성공
2024-06-02 10:22:00,U002243,포인트결제,문화/여가,147673.0,경기,40대,성공
2024-07-23 16:21:00,U002554,신용카드,교육,68089.0,경기,20대,성공
2024-02-16 23:03:00,U000367,신용카드,식음료,33151.0,전북,50대,성공
2024/05/28 19:23,U000605,신용카드,쇼핑,85874.0,서울,30대,성공
2024-04-11 18:41:00,U002092,신용카드,기타,39700.0,서울,20대,성공
2024/09/09 18:07,U000101,신용카드,공과금,112531.0,서울,20대,성공
2024-01-24 10:19:00,U003617,체크카드,교통,1470.0,경북,30대,성공
2024-01-21 09:28:00,U003458,계좌이체,쇼핑,56113.0,경기,,성공
2024/09/30 17:43,U003735,휴대폰결제,여행,429774.0,전북,50대,성공
2024-01-06 15:32:00,U001592,포인트결제,기타,7685.0,경기,40대,성공
2024-06-19 11:20:00,U001992,신용카드,기타,19423.0,서울,20대,성공
2024-03-29 22:47:00,U001241,체크카드,의료,34142.0,서울,50대,성공
2024-08-28 18:37:00,U001534,신용카드,식음료,5648.0,서울,30대,실패
2024-07-08 20:09:00,U003907,계좌이체,문화/여가,7639.0,서울,60대 이상,성공
2024-02-06 13:28:00,U002453,포인트결제,교통,4131.0,인천,30대,성공
2024-10-30 06:17:00,U002226,체크카드,교육,,경북,40대,성공
2024/04/24 08:41,U000942,체크카드,공과금,25530.0,전북,20대,성공
2024-05-13 09:16:00,U002162,체크카드,쇼핑,53817.0,제주,20대,성공
2024-05-02 23:10:00,U000722,,식음료,12900.0,경기,60대 이상,성공
2024-08-25 17:35:00,U000177,신용카드,기타,35003.0,인천,30대,성공
2024-12-07 10:34:00,U002688,체크카드,교통,-1862.0,전남,30대,성공
2024-02-15 15:53:00,U001610,,쇼핑,24583.0,경기,,성공
2024-10-02 21:47:00,U002456,,교통,500.0,부산,,성공
2024-07-25 09:46:00,U001040,신용카드,식음료,29853.0,서울,30대,성공
2024-05-04 18:39:00,U001940,체크카드,교육,225519.0,경남,30대,성공
2024-08-01 21:54:00,U001541,신용카드,의료,15208.0,인천,30대,성공
2024-12-26 20:45:00,U002125,포인트결제,교통,3712.0,경남,40대,성공
2024-10-16 10:40:00,U001725,포인트결제,문화/여가,61137.0,인천,40대,성공
2024-11-22 22:20:00,U000530,신용카드,교육,88064.0,대전,10대,취소
2024-04-07 19:21:00,U002181,체크카드,교통,1939.0,강원,40대,성공
2024-09-28 17:26:00,U000711,체크카드,의료,55268.0,부산,20대,성공
2024/09/07 09:22,U000418,체크카드,쇼핑,25808.0,울산,40대,성공
2024-10-23 17:26:00,U003595,휴대폰결제,교통,3387.0,경북,30대,성공
2024-04-05 13:44:00,U002761,신용카드,문화/여가,30902.0,전남,40대,성공
2024-07-01 17:52:00,U000440,휴대폰결제,문화/여가,70896.0,경기,60대 이상,성공
2024-10-15 19:34:00,U000573,계좌이체,공과금,100486.0,인천,30대,성공
2024-05-01 06:19:00,U001905,신용카드,교육,,,50대,성공
2024-08-29 19:08:00,U001618,계좌이체,식음료,22369.0,광주,20대,성공
2024-05-03 13:13:00,U003207,신용카드,문화/여가,23882.0,경기,10대,성공
2024-04-14 19:50:00,U001979,신용카드,여행,184108.0,광주,30대,성공
2024-05-10 06:43:00,U002442,포인트결제,교통,3323.0,서울,30대,성공
2024-02-06 12:29:00,U001564,체크카드,쇼핑,27370.0,인천,20대,성공
2024-09-04 04:15:00,U001927,체크카드,공과금,86608.0,인천,60대 이상,성공
2024-05-16 19:09:00,U001247,휴대폰결제,교통,3690.0,경기,60대 이상,성공
2024-06-14 12:55:00,U001008,계좌이체,의료,73046.0,경기,20대,성공
2024-05-10 09:04:00,U000631,포인트결제,쇼핑,66468.0,서울,40대,성공
2024/05/17 22:45,U001608,신용카드,쇼핑,67844.0,인천,40대,성공
2024-01-09 14:56:00,U001816,계좌이체,식음료,13307.0,경기,20대,성공
2024-02-27 12:58:00,U001676,신용카드,의료,11650.0,전북,30대,성공
2024/07/25 10:49,U002743,체크카드,문화/여가,19467.0,경기,20대,성공
2024-01-03 14:47:00,U002213,체크카드,의료,16281.0,강원,20대,성공
2024-12-16 19:21:00,U001886,계좌이체,교통,1810.0,부산,60대 이상,성공
2024-12-02 06:39:00,U000458,계좌이체,식음료,6331.0,전남,20대,성공
2024/07/03 18:08,U002939,포인트결제,의료,19464.0,제주,,성공
2024/11/15 21:28,U000470,신용카드,여행,399351.0,서울,30대,성공
2024-04-20 18:06:00,U000429,신용카드,기타,38872.0,경기,40대,성공
2024-12-24 20:36:00,U001823,신용카드,교통,6191.0,경기,30대,성공
2024-06-02 12:57:00,U003133,포인트결제,쇼핑,67282.0,강원,30대,성공
2024-05-26 19:58:00,U000343, 신용카드 ,식음료,11658.0,인천,30대,성공
2024-09-10 18:31:00,U001395,계좌이체,식음료,18038.0,광주,50대,성공
2024-06-13 20:05:00,U000751,신용카드,쇼핑,73196.0,서울,,성공
2024-10-05 10:44:00,U000525,체크카드,쇼핑,37533.0,경남,30대,성공
2024-08-03 17:34:00,U003864,,식음료,17972.0,서울,50대,성공
2024/05/02 18:43,U003928,신용카드,여행,114604.0,서울,30대,성공
2024-08-09 22:56:00,U001072,신용카드,교육,50958.0,서울,40대,성공
2024-08-04 21:51:00,U003659,신용카드,식음료,16628.0,경기,20대,성공
2024-06-30 11:50:00,U003265,신용카드,교통,1395.0,경기,60대 이상,성공
2024-05-11 23:49:00,U001298,체크카드,식음료,20545.0,경기,20대,성공
2024-10-04 19:09:00,U002357,휴대폰결제,여행,73569.0,서울,30대,성공
2024-04-21 10:18:00,U001290,,쇼핑,37043.0,경기,30대,성공
2024-09-01 22:15:00,U003295,계좌이체,식음료,38146.0,서울,40대,성공
2024/08/12 08:48,U001828,체크카드,쇼핑,16375.0,전남,20대,성공
2024-09-30 13:14:00,U003230,신용카드,쇼핑,55864.0,서울,20대,성공
2024/01/03 15:10,U000172,계좌이체,쇼핑,7598.0,경기,20대,성공
2024-11-01 22:01:00,U000865,휴대폰결제,쇼핑,27386.0,경기,20대,성공
2024/02/13 09:53,U003779,신용카드,문화/여가,19258.0,대구,50대,성공
2024/03/21 12:51,U000929,체크카드,공과금,86934.0,서울,50대,성공
2024-04-29 18:37:00,U000835,계좌이체,식음료,14797.0,제주,60대 이상,성공
2024-01-01 20:03:00,U000429,계좌이체,의료,97339.0,경북,20대,성공
2024-01-02 16:40:00,U000362,신용카드,기타,67593.0,경북,50대,성공
2024-07-05 18:34:00,U000184,계좌이체,문화/여가,32930.0,서울,50대,성공
2024-01-08 00:50:00,U001402,체크카드,의료,146008.0,충남,20대,성공
2024-06-28 20:05:00,U000596,신용카드,식음료,26412.0,대구,30대,성공
2024-09-18 17:43:00,U001815,신용카드,교육,187786.0,경기,30대,성공
2024/06/16 21:18,U000338,휴대폰결제,쇼핑,21520.0,전남,40대,성공
2024-10-21 11:57:00,U001558,체크카드,식음료,19752.0,대구,60대 이상,성공
2024-07-20 22:11:00,U003685,포인트결제,문화/여가,28595.0,광주,30대,성공
2024-01-08 19:56:00,U002762,체크카드,쇼핑,66090.0,서울,30대,실패
2024-04-22 14:54:00,U001038,체크카드,식음료,15273.0,세종,30대,성공
2024-03-15 16:13:00,U001000,계좌이체,쇼핑,40699.0,세종,30대,성공
2024-06-18 06:46:00,U000893,신용카드,문화/여가,29308.0,경기,20대,성공
2024-06-27 01:19:00,U002202,신용카드,문화/여가,47379.0,대전,20대,실패
2024/11/22 16:44,U001311,신용카드,여행,178913.0,경기,40대,성공
2024-06-27 12:58:00,U003235,휴대폰결제,교육,,대구,30대,성공
2024-04-02 15:54:00,U003926,계좌이체,쇼핑,48991.0,인천,30대,성공
2024-07-04 09:24:00,U001773,계좌이체,공과금,78817.0,경기,20대,성공
2024-08-03 15:19:00,U003406,체크카드,쇼핑,24012.0,전남,30대,성공
2024-10-12 19:14:00,U003768,신용카드,교통,3100.0,서울,40대,성공
2024-05-19 19:28:00,U002758,체크카드,교통,517.0,부산,50대,성공
2024-11-03 17:32:00,U002329,계좌이체,교통,2246.0,경남,10대,성공
2024-03-10 17:13:00,U000471, 신용카드 ,여행,227683.0,,50대,성공
2024-03-09 12:55:00,U002594,계좌이체,식음료,19347.0,서울,10대,성공
2024-04-06 20:04:00,U002556,,쇼핑,52661.0,부산,30대,성공
2024/10/18 08:27,U000985,포인트결제,교통,2892.0,경기,40대,성공
2024-10-03 11:18:00,U002048,신용카드,쇼핑,,서울,50대,성공
2024-06-05 15:27:00,U002719,휴대폰결제,교통,5312.0,경기,30대,성공
2024-11-26 19:17:00,U002900,신용카드,교통,3443.0,대구,30대,성공
2024-07-02 16:51:00,U003344,신용카드,기타,5244.0,경기,40대,성공
2024-10-29 21:50:00,U003886,신용카드,식음료,11012.0,서울,20대,성공
2024-04-29 19:17:00,U002127,신용카드,교통,1553.0,서울,40대,성공
2024/07/31 01:54,U000583,신용카드,문화/여가,114086.0,,20대,성공
2024-02-19 03:16:00,U000210,신용카드,쇼핑,49691.0,서울,30대,성공
2024-05-01 19:16:00,U001729,계좌이체,식음료,13834.0,서울,50대,성공
2024-11-28 21:29:00,U000887,체크카드,문화/여가,2505.0,서울,20대,성공
2024-11-03 14:10:00,U003689,포인트결제,교통,5606.0,서울,30대,성공
2024-01-22 11:03:00,U003095,신용카드,여행,67272.0,경기,40대,성공
2024-05-25 14:16:00,U003595,휴대폰결제,교육,135499.0,경기,30대,성공
